l1_pt,l1_eta,l1_phi,l1_energy,l2_pt,l2_eta,l2_phi,l2_energy,l3_pt,l3_eta,l3_phi,l3_energy,l4_pt,l4_eta,l4_phi,l4_energy,n
51.843624,0.4224599,-1.3330438,56.53917,39.646557,0.34047243,1.6775119,41.96678,38.89337,-0.5771445,1.4858139,45.55279,29.994131,1.3042911,-1.9566596,59.335,0.06369708169428887
86.25914,1.3615801,-0.25082806,179.359,44.87031,0.5534677,2.7023535,51.92003,23.258114,1.070716,2.7459645,37.91341,22.488228,-1.712524,-2.842116,64.35394,0.07646765489981903
47.63348,-0.5181175,0.3920081,54.17129,47.51356,0.48054025,-1.8539743,53.10584,37.10633,-0.39323667,1.4830486,40.01246,35.30963,0.4905132,-2.8679972,39.64329,0.023353454545004246
61.493725,0.6376797,-1.9863433,74.42594,57.981045,-0.5368431,1.3258883,66.53873,52.63783,0.8174471,-0.13346624,71.22605,41.993683,0.5470482,2.9737809,48.43551,0.015763668111186274
45.253193,0.29447004,-1.4637969,47.22942,42.47246,-0.26801303,1.8307542,44.00704,42.350834,-2.058975,-0.81318825,168.6731,41.65408,-1.4556872,2.1562934,94.15215,0.02238357536261214
47.77177,0.1018126,0.049009934,48.01958,42.80918,-1.1649125,-2.9968212,75.29262,39.579655,0.7013573,3.102723,49.71995,34.273792,0.055282205,0.06708441,34.32618,0.03277141084185899
159.75133,0.332204,-3.112928,168.6478,153.27577,0.19904724,0.18972519,156.3222,14.1980295,-1.0826893,-1.2628345,23.36493,11.839445,1.4072839,-1.1481124,25.63034,0.03404896807696972
48.9097,1.1885835,-2.8398032,87.72152,43.724243,0.91578394,0.052336685,63.37689,26.180088,-0.16432834,2.418614,26.53436,23.226131,2.300239,-0.22011518,117.0226,0.013842823154531196
82.95174,-1.0997185,0.7805159,138.3753,77.0811,-1.3048924,-2.384196,152.5625,55.01978,-2.2555807,2.832144,265.3506,54.213173,-0.36080033,-0.42122948,57.78027,0.013265085855720006
67.629456,1.8100971,2.3793578,212.1766,59.45017,0.99266857,-1.329505,91.22665,32.598377,1.3081869,-0.02930487,64.70403,12.169308,-1.2568779,1.395226,23.11544,0.01614035411904354
49.609932,0.82642096,-2.901798,67.53743,46.83987,1.4195437,1.1541649,102.5104,40.517933,1.0479246,-1.6386625,64.87714,33.328316,-0.13633229,0.28511304,33.63852,0.015761545533697557
146.3464,-2.0249124,-0.6117957,563.9789,136.66808,0.66732305,2.995088,168.2448,85.64621,1.3158861,2.476797,171.1335,83.572334,-1.6994032,0.13522199,236.237,0.030382203833410178
72.95892,-1.8419726,2.4427109,235.9301,70.341095,0.26584634,-1.1035057,72.84142,47.869167,-1.6299202,0.6435281,126.8392,19.104353,-1.6195393,-2.403029,50.13701,0.06944536925139069
77.72982,-0.9611952,2.315404,116.488,70.25113,0.035349764,-1.5804865,70.29502,35.47002,-0.6706099,0.6925826,43.74919,27.757341,-0.4095709,-0.35160077,30.11819,0.009035044539057546
52.749153,-0.38629162,-1.5023202,56.73399,52.027603,-0.91266286,2.8115337,75.24234,46.00813,0.5454684,1.1330613,53.02406,26.767582,-1.3516477,-0.22249985,55.17602,0.00830301577496501
